Target,0,1,2,3,4,5,6,7,8,9,10,11
0,8,14,40,15,16,4,16,15,17,16,16,17
1,8,14,40,15,17,4,16,15,17,16,15,17
2,7,15,40,14,17,5,16,15,18,16,15,17
3,7,15,39,14,17,5,16,14,17,15,15,17
4,7,16,39,15,17,5,17,14,17,16,15,17
5,7,17,38,14,17,5,17,14,17,16,15,17
6,7,17,38,14,17,6,17,14,17,15,15,17
7,7,18,38,14,17,6,17,13,17,15,15,17
8,7,18,38,14,17,6,17,13,17,15,15,17
9,7,17,38,14,17,6,17,13,17,15,15,17
10,7,17,39,14,17,5,18,12,17,15,15,17
11,7,16,39,14,17,5,18,12,17,15,15,17
12,8,15,39,14,17,5,18,11,17,15,15,17
13,8,15,40,14,17,5,19,10,17,15,15,17
14,9,14,41,14,17,4,19,10,17,14,15,17
15,10,13,42,14,17,4,19,9,17,14,15,17
16,11,11,44,15,17,4,19,10,17,14,15,18
17,13,9,47,16,17,4,19,11,17,14,16,18
18,15,7,48,16,17,4,18,13,17,13,15,19
19,15,7,48,13,18,4,16,13,20,13,13,19
20,13,9,46,13,18,4,15,11,20,13,13,18
21,11,11,44,14,18,4,15,10,20,13,14,18
22,10,13,42,14,18,4,14,10,19,14,14,18
23,9,13,41,14,18,4,14,10,19,14,14,17
24,8,14,40,14,17,4,15,10,19,15,15,17
25,8,15,40,14,17,5,15,10,19,15,15,17
26,7,15,40,14,17,5,15,10,19,15,15,17
27,7,15,39,14,17,5,15,11,18,15,15,17
28,7,15,39,14,17,5,15,11,18,15,15,17
29,7,16,39,15,17,5,15,11,18,15,15,17
30,7,16,39,15,17,5,15,12,18,15,15,17
31,7,16,39,15,17,5,15,12,17,15,15,17
32,7,15,39,15,17,5,15,12,17,16,15,17
33,7,15,40,15,17,5,15,13,17,15,15,17
34,8,15,40,15,17,4,16,14,17,16,15,17
35,8,14,41,16,17,4,16,15,16,16,15,17
36,8,14,41,16,17,4,16,15,17,15,15,17
37,8,14,41,15,17,4,16,15,17,16,15,17
38,8,15,40,15,17,4,16,15,17,15,15,17
39,7,15,40,15,17,5,17,14,18,15,15,17
40,7,16,39,14,17,5,17,14,17,15,15,17
41,7,16,39,14,17,5,17,14,17,15,15,17
42,7,17,39,14,17,5,17,13,17,15,15,17
43,7,17,39,14,17,5,17,13,17,15,15,17
44,7,17,39,14,17,5,18,13,17,15,15,17
45,7,17,39,14,17,5,18,12,18,15,15,17
46,7,16,39,14,17,5,18,12,18,15,15,17
47,7,15,39,14,17,5,18,11,18,15,15,17
48,8,15,40,14,17,5,18,10,18,14,16,17
49,9,14,40,14,17,5,19,10,18,14,16,17
50,9,13,42,14,17,4,19,9,18,14,16,17
51,10,12,43,14,17,4,19,9,19,13,16,17
52,12,11,45,14,18,4,19,9,19,13,16,18
53,14,9,47,15,17,4,18,10,19,13,16,18
54,17,7,49,15,17,4,17,13,20,13,16,19
55,15,7,48,13,19,4,15,13,23,11,14,19
56,13,9,46,13,18,4,14,10,21,13,15,18
57,11,11,44,14,19,4,14,10,21,13,15,18
58,10,12,42,14,18,4,14,10,20,14,15,17
59,9,14,41,14,17,4,14,10,20,15,15,17
60,8,14,40,14,17,5,14,10,20,15,15,17
61,8,15,40,14,17,5,14,10,19,15,15,17
62,7,15,39,14,17,5,14,11,19,15,15,17
63,7,15,39,14,17,5,15,11,19,15,15,17
64,7,16,39,14,17,5,15,11,19,15,15,17
65,7,16,39,14,17,5,15,11,18,16,15,17
66,7,16,39,14,17,5,15,12,18,16,15,17
67,7,16,39,15,17,5,15,12,18,15,15,17
68,7,16,39,15,17,5,15,13,17,16,16,17
69,7,15,39,15,17,5,15,13,17,16,16,17
70,7,15,40,15,17,5,15,14,17,16,16,17
71,8,14,40,15,17,4,15,15,16,16,16,17
72,21,7,36,10,18,4,18,5,19,15,17,16
73,21,7,36,10,18,4,18,5,20,16,16,16
74,19,7,36,10,18,4,18,5,19,16,16,16
75,21,7,36,9,18,4,18,5,20,16,16,16
76,20,7,36,10,18,4,18,5,20,16,16,16
77,19,7,36,9,17,4,18,5,20,16,16,16
78,20,7,36,10,17,4,18,4,19,16,16,16
79,20,7,36,10,17,4,18,4,19,16,16,16
80,18,8,35,9,18,4,18,5,20,16,16,16
81,18,8,35,10,17,4,18,4,20,16,16,16
82,17,8,35,10,17,4,18,4,20,16,16,16
83,18,8,35,10,17,4,18,4,19,16,16,16
84,18,8,35,10,17,4,18,4,19,16,16,16
85,18,8,35,9,17,4,18,4,20,16,16,16
86,18,8,35,10,17,4,17,4,20,16,16,16
87,17,9,35,10,17,5,17,4,20,16,16,16
88,18,8,35,10,17,4,17,4,20,16,16,16
89,18,8,35,10,17,4,17,4,20,16,16,16
90,18,8,35,10,17,4,16,4,20,16,16,16
91,16,9,35,10,17,5,16,4,20,16,16,16
92,18,8,36,10,17,5,16,4,20,16,16,16
93,17,8,36,10,18,5,16,4,20,15,16,16
94,17,8,35,11,18,5,15,4,20,15,16,16
95,17,8,36,11,18,5,15,4,20,15,16,16
96,16,9,35,10,18,5,15,4,20,15,16,16
97,16,9,35,10,18,5,15,4,20,15,15,16
98,16,9,35,10,18,5,14,4,20,15,16,17
99,18,8,36,11,18,5,14,4,20,15,15,17
100,17,8,36,10,19,5,14,4,21,15,15,17
101,17,8,36,10,19,5,14,5,20,14,15,17
102,17,8,36,10,19,5,14,5,21,14,15,17
103,17,8,36,10,19,5,14,5,21,14,15,17
104,17,8,36,11,19,5,14,5,20,14,15,17
105,18,7,36,10,19,5,14,6,20,14,15,17
106,19,7,36,10,20,5,14,6,21,14,15,17
