Target,0,1,2,3,4,5,6,7,8,9,10,11
Amarillo,8,14,40,15,16,4,16,15,17,16,16,17
Amarillo,8,14,40,15,17,4,16,15,17,16,15,17
Amarillo,7,15,40,14,17,5,16,15,18,16,15,17
Amarillo,7,15,39,14,17,5,16,14,17,15,15,17
Amarillo,7,16,39,15,17,5,17,14,17,16,15,17
Amarillo,7,17,38,14,17,5,17,14,17,16,15,17
Amarillo,7,17,38,14,17,6,17,14,17,15,15,17
Amarillo,7,18,38,14,17,6,17,13,17,15,15,17
Amarillo,7,18,38,14,17,6,17,13,17,15,15,17
Amarillo,7,17,38,14,17,6,17,13,17,15,15,17
Amarillo,7,17,39,14,17,5,18,12,17,15,15,17
Amarillo,7,16,39,14,17,5,18,12,17,15,15,17
Amarillo,8,15,39,14,17,5,18,11,17,15,15,17
Amarillo,8,15,40,14,17,5,19,10,17,15,15,17
Amarillo,9,14,41,14,17,4,19,10,17,14,15,17
Amarillo,10,13,42,14,17,4,19,9,17,14,15,17
Amarillo,11,11,44,15,17,4,19,10,17,14,15,18
Amarillo,13,9,47,16,17,4,19,11,17,14,16,18
Amarillo,15,7,48,16,17,4,18,13,17,13,15,19
Amarillo,15,7,48,13,18,4,16,13,20,13,13,19
Amarillo,13,9,46,13,18,4,15,11,20,13,13,18
Amarillo,11,11,44,14,18,4,15,10,20,13,14,18
Amarillo,10,13,42,14,18,4,14,10,19,14,14,18
Amarillo,9,13,41,14,18,4,14,10,19,14,14,17
Amarillo,8,14,40,14,17,4,15,10,19,15,15,17
Amarillo,8,15,40,14,17,5,15,10,19,15,15,17
Amarillo,7,15,40,14,17,5,15,10,19,15,15,17
Amarillo,7,15,39,14,17,5,15,11,18,15,15,17
Amarillo,7,15,39,14,17,5,15,11,18,15,15,17
Amarillo,7,16,39,15,17,5,15,11,18,15,15,17
Amarillo,7,16,39,15,17,5,15,12,18,15,15,17
Amarillo,7,16,39,15,17,5,15,12,17,15,15,17
Amarillo,7,15,39,15,17,5,15,12,17,16,15,17
Amarillo,7,15,40,15,17,5,15,13,17,15,15,17
Amarillo,8,15,40,15,17,4,16,14,17,16,15,17
Amarillo,8,14,41,16,17,4,16,15,16,16,15,17
Amarillo,8,14,41,16,17,4,16,15,17,15,15,17
Amarillo,8,14,41,15,17,4,16,15,17,16,15,17
Amarillo,8,15,40,15,17,4,16,15,17,15,15,17
Amarillo,7,15,40,15,17,5,17,14,18,15,15,17
Amarillo,7,16,39,14,17,5,17,14,17,15,15,17
Amarillo,7,16,39,14,17,5,17,14,17,15,15,17
Amarillo,7,17,39,14,17,5,17,13,17,15,15,17
Amarillo,7,17,39,14,17,5,17,13,17,15,15,17
Amarillo,7,17,39,14,17,5,18,13,17,15,15,17
Amarillo,7,17,39,14,17,5,18,12,18,15,15,17
Amarillo,7,16,39,14,17,5,18,12,18,15,15,17
Amarillo,7,15,39,14,17,5,18,11,18,15,15,17
Amarillo,8,15,40,14,17,5,18,10,18,14,16,17
Amarillo,9,14,40,14,17,5,19,10,18,14,16,17
Amarillo,9,13,42,14,17,4,19,9,18,14,16,17
Amarillo,10,12,43,14,17,4,19,9,19,13,16,17
Amarillo,12,11,45,14,18,4,19,9,19,13,16,18
Amarillo,14,9,47,15,17,4,18,10,19,13,16,18
Amarillo,17,7,49,15,17,4,17,13,20,13,16,19
Amarillo,15,7,48,13,19,4,15,13,23,11,14,19
Amarillo,13,9,46,13,18,4,14,10,21,13,15,18
Amarillo,11,11,44,14,19,4,14,10,21,13,15,18
Amarillo,10,12,42,14,18,4,14,10,20,14,15,17
Amarillo,9,14,41,14,17,4,14,10,20,15,15,17
Amarillo,8,14,40,14,17,5,14,10,20,15,15,17
Amarillo,8,15,40,14,17,5,14,10,19,15,15,17
Amarillo,7,15,39,14,17,5,14,11,19,15,15,17
Amarillo,7,15,39,14,17,5,15,11,19,15,15,17
Amarillo,7,16,39,14,17,5,15,11,19,15,15,17
Amarillo,7,16,39,14,17,5,15,11,18,16,15,17
Amarillo,7,16,39,14,17,5,15,12,18,16,15,17
Amarillo,7,16,39,15,17,5,15,12,18,15,15,17
Amarillo,7,16,39,15,17,5,15,13,17,16,16,17
Amarillo,7,15,39,15,17,5,15,13,17,16,16,17
Amarillo,7,15,40,15,17,5,15,14,17,16,16,17
Verde,8,14,40,15,17,4,15,15,16,16,16,17
Verde,21,7,36,10,18,4,18,5,19,15,17,16
Verde,21,7,36,10,18,4,18,5,20,16,16,16
Verde,19,7,36,10,18,4,18,5,19,16,16,16
Verde,21,7,36,9,18,4,18,5,20,16,16,16
Verde,20,7,36,10,18,4,18,5,20,16,16,16
Verde,19,7,36,9,17,4,18,5,20,16,16,16
Verde,20,7,36,10,17,4,18,4,19,16,16,16
Verde,20,7,36,10,17,4,18,4,19,16,16,16
Verde,18,8,35,9,18,4,18,5,20,16,16,16
Verde,18,8,35,10,17,4,18,4,20,16,16,16
Verde,17,8,35,10,17,4,18,4,20,16,16,16
Verde,18,8,35,10,17,4,18,4,19,16,16,16
Verde,18,8,35,10,17,4,18,4,19,16,16,16
Verde,18,8,35,9,17,4,18,4,20,16,16,16
Verde,18,8,35,10,17,4,17,4,20,16,16,16
Verde,17,9,35,10,17,5,17,4,20,16,16,16
Verde,18,8,35,10,17,4,17,4,20,16,16,16
Verde,18,8,35,10,17,4,17,4,20,16,16,16
Verde,18,8,35,10,17,4,16,4,20,16,16,16
Verde,16,9,35,10,17,5,16,4,20,16,16,16
Verde,18,8,36,10,17,5,16,4,20,16,16,16
Verde,17,8,36,10,18,5,16,4,20,15,16,16
Verde,17,8,35,11,18,5,15,4,20,15,16,16
Verde,17,8,36,11,18,5,15,4,20,15,16,16
Verde,16,9,35,10,18,5,15,4,20,15,16,16
Verde,16,9,35,10,18,5,15,4,20,15,15,16
Verde,16,9,35,10,18,5,14,4,20,15,16,17
Verde,18,8,36,11,18,5,14,4,20,15,15,17
Verde,17,8,36,10,19,5,14,4,21,15,15,17
Verde,17,8,36,10,19,5,14,5,20,14,15,17
Verde,17,8,36,10,19,5,14,5,21,14,15,17
Verde,17,8,36,10,19,5,14,5,21,14,15,17
Verde,17,8,36,11,19,5,14,5,20,14,15,17
Verde,18,7,36,10,19,5,14,6,20,14,15,17
Verde,19,7,36,10,20,5,14,6,21,14,15,17
Verde,19,7,37,10,20,5,14,6,20,14,15,17
Verde,19,7,37,9,20,5,14,6,21,14,15,17
Verde,19,7,37,9,20,5,14,6,20,13,15,17
Verde,19,7,37,9,20,5,14,7,21,13,15,17
Verde,19,7,37,8,21,5,14,7,21,13,15,17
Verde,19,7,37,8,21,5,14,7,21,13,15,18
Verde,19,7,37,9,21,5,15,7,21,13,15,18
Verde,19,7,37,8,21,5,15,7,21,12,15,18
Verde,18,7,37,8,21,5,15,7,21,12,15,18
Verde,19,7,37,9,21,5,15,7,21,12,15,18
Verde,18,7,37,9,21,5,15,7,21,12,15,18
Verde,18,8,37,9,21,5,16,6,21,12,15,18
Verde,17,8,37,9,21,5,16,6,21,12,15,18
Verde,17,8,37,9,22,6,16,6,21,12,16,18
Verde,17,8,37,9,22,6,16,6,21,12,16,18
Verde,17,8,37,10,22,6,16,6,20,12,16,18
Verde,17,8,37,9,22,6,16,6,20,12,16,18
Verde,16,8,37,10,21,6,16,5,20,12,16,18
Verde,16,8,37,9,21,6,16,6,21,12,16,18
Verde,17,8,37,9,21,6,15,5,21,12,16,18
Verde,18,7,37,9,22,5,15,5,21,12,16,18
Verde,18,7,37,9,21,5,15,5,21,12,17,17
Verde,19,7,37,9,21,5,15,5,21,12,17,17
Verde,20,7,37,9,21,5,15,5,21,12,17,17
Verde,20,7,37,9,21,5,15,5,20,12,17,17
Verde,21,7,37,9,21,5,15,5,21,12,17,17
Verde,20,7,37,9,21,5,15,4,20,13,17,17
Verde,21,7,37,9,21,5,15,4,20,13,17,17
Verde,21,7,37,9,21,4,16,4,20,13,17,17
Verde,21,7,36,9,20,4,16,5,20,14,17,17
Verde,21,7,36,9,20,4,16,5,20,14,17,17
Verde,21,7,36,10,20,4,16,5,20,14,17,17
Verde,21,7,36,10,20,4,17,5,20,14,17,17
Verde,21,7,36,9,19,4,17,5,20,15,17,17
Verde,20,7,36,9,19,4,17,5,20,15,17,16
Amarillo,21,7,36,10,19,4,17,5,19,15,17,16
Amarillo,21,7,36,10,19,4,18,5,19,15,17,16
Amarillo,7,15,40,13,16,5,16,10,20,17,14,15
Amarillo,7,15,40,13,16,5,16,11,20,17,14,15
Amarillo,7,14,40,13,16,5,16,11,20,17,14,15
Amarillo,7,14,40,12,17,5,16,11,21,16,14,16
Amarillo,8,13,41,12,17,5,17,11,21,16,14,16
Amarillo,8,13,41,12,17,4,17,11,21,15,14,16
Amarillo,8,12,42,12,17,4,17,11,22,15,14,16
Amarillo,9,11,43,11,18,4,17,11,22,15,13,16
Amarillo,10,10,44,11,18,4,17,10,22,14,13,16
Amarillo,10,10,44,11,18,4,18,10,22,14,13,16
Amarillo,10,9,45,10,19,4,18,9,23,14,13,16
Amarillo,11,9,45,10,19,4,18,8,23,14,13,16
Amarillo,12,8,46,10,19,4,18,8,24,14,13,16
Amarillo,13,7,47,10,19,4,18,8,24,14,13,16
Amarillo,14,6,48,10,19,4,18,7,24,14,13,16
Amarillo,15,5,49,10,20,4,18,7,24,13,13,16
