Target,Pulse1,Pulse3,Pulse4,Pulse5,Pulse6,Pulse7,Pulse8,Pulse9,Pulse10,Pulse11,Pulse12,Pulse13,Pulse14,Pulse15,Pulse16,Pulse17,Pulse18,Pulse19,Pulse20,Pulse21,Pulse22,Pulse23,Pulse24,Pulse25,Pulse26,Pulse27,Pulse28,Pulse29,Pulse30,Pulse31,Pulse32,Pulse33,Pulse34
NN,0.9999,0.9974,0.4705,0.9259,0.5115,0.9169,0.3115,0.9999,0.519,0.9259,0.411,0.7989,0.2755,0.8024,0.309,0.9219,0.3075,0.7909,0.339,0.7849,0.3515,0.6845,0.263,0.7839,0.2441,0.7055,0.269,0.6065,0.3295,0.7115,0.2276,0.593,0.2735
NN,0.9999,0.9999,0.406,0.9649,0.319,0.4455,0.0321,0.9999,0.4775,0.7544,0.1616,0.672,0.1516,0.2416,0.0126,0.5275,0.1891,0.6655,0.0001,0.434,0.2735,0.4095,0.3215,0.3985,0.367,0.3975,0.408,0.405,0.442,0.417,0.4685,0.4315,0.488
NN,0.9999,0.9999,0.274,0.9999,0.9999,0.8559,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.0001,0.5725,0.7704,0.3035,0.0001,0.2276,0.1501,0.9999,0.5,0.5,0.9999,0.9534,0.7579,0.9999,0.9999,0.3995,0.6285,0.9999,0.338,0.9999
NN,0.9999,0.9999,0.488,0.9704,0.5325,0.9604,0.3835,0.8859,0.418,0.7639,0.3985,0.7819,0.4965,0.672,0.3625,0.7644,0.391,0.7255,0.411,0.53,0.322,0.5115,0.2356,0.5165,0.1741,0.5665,0.2341,0.512,0.1891,0.4715,0.2021,0.477,0.1716
NN,0.9999,0.5115,0.497,0.4505,0.4405,0.496,0.441,0.5735,0.533,0.519,0.4685,0.5,0.5,0.477,0.4225,0.4985,0.449,0.442,0.473,0.509,0.5185,0.5075,0.5045,0.5175,0.4925,0.484,0.546,0.4605,0.5035,0.5,0.5,0.5,0.56
NN,0.9999,0.9879,0.447,0.9729,0.396,0.9639,0.358,0.9299,0.3635,0.8989,0.2605,0.8909,0.2461,0.8729,0.1931,0.7894,0.1596,0.6895,0.1321,0.6815,0.1171,0.6595,0.1011,0.614,0.0921,0.5685,0.0876,0.523,0.0881,0.4785,0.0936,0.431,0.0951
NN,0.0001,0.5,0.5,0.5,0.5,0.9999,0.0001,0.5,0.5,0.0001,0.0001,0.5,0.5,0.5,0.5,0.9999,0.9999,0.0001,0.0001,0.5,0.5,0.5,0.5,0.9999,0.9999,0.9999,0.9999,0.5,0.5,0.9999,0.9999,0.5,0.5
NN,0.9999,0.9819,0.464,0.9999,0.4285,0.9999,0.3935,0.9999,0.319,0.9629,0.282,0.9724,0.2965,0.9519,0.268,0.9914,0.3235,0.9224,0.1701,0.8764,0.1971,0.8479,0.1791,0.9254,0.1731,0.7879,0.1516,0.627,0.1806,0.7255,0.1361,0.6945,0.1331
NN,0.9999,0.4905,0.4575,0.5,0.5,0.5,0.5,0.5575,0.366,0.2715,0.309,0.5,0.5,0.3315,0.693,0.3145,0.575,0.8184,0.6105,0.5,0.5,0.5,0.5,0.426,0.4935,0.603,0.4885,0.5,0.5,0.583,0.6205,0.459,0.6905
NN,0.9999,0.9999,0.5335,0.9999,0.408,0.9999,0.3635,0.9999,0.2845,0.9999,0.2935,0.9809,0.2406,0.9534,0.2051,0.9459,0.1676,0.8494,0.1451,0.8529,0.1186,0.8154,0.0976,0.7794,0.0546,0.736,0.0676,0.7015,0.0816,0.655,0.0546,0.615,0.0541
