Target,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp31,Sp32,Sp33,Sp34,Sp35,Sp36,Sp37,Sp38,Sp39,Sp41,Sp42,Sp43,Sp44,Sp45,Sp46,Sp47,Sp48,Sp49
NN,0.836,0.7999,0.771,0.4872,0.7049,0.6818,0.5895,0.3906,0.7049,0.7373,0.5474,0.4219,0.9835,0.9603,0.8695,0.5897,0.9106,0.8252,0.7469,0.3739,0.7678,0.7378,0.6,0.416,0.9999,0.9509,0.9309,0.5833,0.8392,0.9292,0.821,0.5547,0.7777,0.7722,0.6631,0.4531
NN,0.7049,0.6818,0.6024,0.359,0.7049,0.6818,0.5474,0.4219,0.6393,0.7373,0.5474,0.3906,0.836,0.8217,0.7065,0.4359,0.7678,0.7378,0.5783,0.3392,0.7678,0.699,0.6,0.392,0.7704,0.9019,0.862,0.55,0.7678,0.7878,0.6631,0.4531,0.7777,0.693,0.5684,0.3906
NN,0.7049,0.6818,0.5542,0.3932,0.6393,0.6818,0.5474,0.3906,0.7049,0.6565,0.5474,0.3906,0.7049,0.7326,0.5543,0.4017,0.7678,0.699,0.5783,0.3131,0.7678,0.699,0.6,0.416,0.7049,0.7647,0.6896,0.4417,0.7678,0.707,0.5684,0.3906,0.7777,0.693,0.5684,0.3906
NN,0.6393,0.6818,0.5542,0.359,0.7049,0.6091,0.5474,0.3906,0.6393,0.6565,0.5053,0.3672,0.7049,0.693,0.5543,0.3761,0.7678,0.699,0.5783,0.3392,0.625,0.699,0.6,0.416,0.7049,0.6862,0.5862,0.375,0.7678,0.707,0.5684,0.3906,0.7777,0.7326,0.5684,0.3906
NN,0.7049,0.6091,0.5542,0.359,0.6393,0.6091,0.5053,0.3672,0.6393,0.7373,0.5474,0.3906,0.7049,0.693,0.5543,0.4017,0.625,0.699,0.5783,0.3392,0.625,0.699,0.6444,0.448,0.7049,0.6862,0.5862,0.375,0.7678,0.7474,0.5684,0.3906,0.6851,0.7722,0.621,0.4531
NN,0.6393,0.6091,0.506,0.3334,0.6393,0.6818,0.5474,0.3906,0.5738,0.7373,0.5474,0.3906,0.5738,0.693,0.5543,0.4017,0.625,0.699,0.6265,0.3739,0.625,0.7378,0.7555,0.472,0.7049,0.7254,0.5862,0.375,0.6785,0.7878,0.621,0.4531,0.6851,0.7722,0.621,0.4531
NN,0.5738,0.6818,0.6024,0.3932,0.5738,0.6818,0.5895,0.4531,0.6393,0.6969,0.5895,0.3906,0.6393,0.7722,0.7065,0.4615,0.6964,0.8252,0.7469,0.4,0.6964,0.7766,0.7,0.448,0.6229,0.7647,0.6896,0.4417,0.6785,0.7474,0.5684,0.4219,0.6851,0.7326,0.5684,0.3906
NN,0.5738,0.6818,0.6024,0.4274,0.6393,0.6454,0.5895,0.3906,0.5738,0.6565,0.5474,0.3672,0.6393,0.8217,0.7065,0.4615,0.6964,0.7766,0.6867,0.3739,0.6964,0.6602,0.5555,0.392,0.6229,0.7254,0.5862,0.4084,0.6785,0.7474,0.5684,0.3906,0.6851,0.6534,0.5263,0.3906
NN,0.5738,0.6091,0.506,0.3334,0.5738,0.6454,0.5474,0.336,0.5738,0.6565,0.4211,0.3672,0.5738,0.6138,0.5543,0.3419,0.625,0.6602,0.5301,0.3131,0.625,0.6213,0.5555,0.36,0.5574,0.6078,0.4943,0.3084,0.6785,0.5858,0.4526,0.3282,0.6851,0.5742,0.4526,0.2969
NN,0.5738,0.6454,0.5542,0.2992,0.5738,0.6091,0.4211,0.3672,0.5738,0.606,0.4632,0.3672,0.5738,0.6534,0.5109,0.3761,0.625,0.6213,0.5301,0.2783,0.625,0.5825,0.5555,0.36,0.6229,0.5686,0.4598,0.3084,0.6785,0.5858,0.4526,0.2969,0.6111,0.5742,0.4842,0.3282
