Target,c0,c1,c2,c3,c4
NN,3195020.0,3455330.0,3497960.0,3068820.0,3206710.0
NN,3651460.0,3412750.0,4132000.0,3248620.0,3603210.0
NN,4716460.0,4051410.0,3638860.0,3150550.0,2946500.0
NN,3347170.0,2433480.0,3075280.0,3150550.0,3058020.0
NN,3042880.0,2859250.0,3004830.0,3166890.0,2859770.0
NN,3042880.0,2603790.0,3427520.0,3150550.0,3739510.0
NN,3423240.0,3519200.0,3075280.0,3183240.0,3206710.0
NN,3727530.0,3412750.0,3638860.0,3166890.0,3578430.0
NN,3118950.0,3306310.0,3497960.0,3166890.0,2872160.0
NN,3195020.0,4072700.0,2723040.0,3068820.0,3256270.0
NN,3118950.0,2199310.0,2793480.0,3183240.0,3045630.0
NN,3423240.0,3710790.0,3568410.0,3068820.0,3281050.0
NN,3879670.0,3263740.0,3850200.0,3085170.0,3392570.0
NN,3575380.0,3029560.0,3286620.0,3526490.0,3119970.0
NN,4336100.0,3370180.0,3075280.0,3068820.0,3144760.0
NN,3347170.0,3093430.0,3427520.0,3101510.0,3318230.0
NN,3499310.0,3093430.0,3004830.0,3052480.0,3020850.0
NN,3727530.0,2731520.0,3004830.0,3085170.0,3305840.0
NN,4107890.0,3561770.0,3427520.0,3134200.0,3008460.0
NN,3803600.0,2816680.0,2863930.0,3134200.0,3119970.0
NN,2738590.0,2965700.0,2793480.0,3085170.0,3082800.0
NN,2890740.0,3455330.0,2863930.0,3036130.0,2884550.0
NN,3347170.0,3519200.0,3286620.0,2987100.0,2859770.0
NN,2814660.0,2923120.0,3216170.0,3248620.0,3181930.0
NN,4260030.0,3455330.0,3145720.0,3134200.0,2884550.0
NN,2662520.0,2603790.0,3638860.0,3215930.0,3343010.0
NN,3118950.0,3348890.0,3638860.0,3085170.0,3033240.0
NN,3879670.0,3455330.0,3497960.0,3183240.0,2971280.0
NN,3042880.0,3668220.0,3357070.0,3085170.0,2996070.0
NN,3423240.0,3519200.0,3216170.0,3085170.0,3157150.0
NN,4183960.0,3093430.0,2723040.0,3150550.0,3045630.0
NN,3879670.0,3668220.0,3357070.0,3117860.0,3157150.0
NN,3423240.0,2965700.0,3286620.0,3264960.0,3665170.0
NN,1901800.0,3029560.0,3075280.0,3150550.0,3008460.0
NN,3955740.0,3902390.0,3286620.0,3117860.0,3355400.0
NN,3955740.0,3646930.0,2934380.0,3166890.0,3132360.0
NN,3651460.0,3221160.0,3357070.0,3215930.0,3070410.0
NN,3118950.0,3306310.0,3004830.0,3052480.0,2934110.0
NN,4944680.0,3327600.0,3145720.0,2987100.0,3268660.0
NN,2662520.0,3540490.0,3638860.0,3068820.0,3107580.0
NN,4260030.0,3455330.0,3638860.0,3052480.0,3243880.0
NN,3423240.0,3263740.0,3075280.0,3166890.0,2909330.0
NN,4868610.0,3838520.0,3850200.0,3117860.0,3305840.0
NN,4260030.0,4179140.0,3004830.0,3183240.0,2934110.0
NN,4412170.0,3029560.0,3568410.0,3085170.0,3504090.0
NN,3195020.0,3093430.0,3216170.0,3166890.0,2971280.0
NN,3347170.0,3434040.0,2863930.0,3215930.0,3404960.0
NN,4183960.0,2752810.0,3286620.0,3134200.0,3107580.0
NN,2662520.0,3327600.0,3709310.0,3134200.0,2847380.0
NN,4031810.0,3029560.0,3286620.0,3166890.0,4569700.0
NN,2662520.0,3710790.0,3709310.0,3036130.0,2834990.0
NN,2890740.0,3902390.0,2793480.0,3134200.0,3206710.0
NN,3803600.0,3029560.0,3145720.0,3019790.0,3144760.0
NN,4107890.0,3008270.0,3357070.0,3019790.0,3268660.0
NN,3118950.0,3306310.0,3145720.0,3068820.0,3256270.0
NN,3727530.0,3625640.0,3427520.0,2970750.0,3045630.0
NN,2130020.0,3199870.0,3004830.0,3052480.0,3206710.0
NN,4183960.0,3519200.0,3427520.0,3101510.0,3095190.0
