Target,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18
NN,0.4783,0.5769,0.5972,0.3232,0.2748,0.151,0.3268,0.4572,0.25,0.5857,0.2422,0.2339,0.4717,0.1448,0.2728,0.3903,0.3667,0.5333
NN,0.3913,0.3077,0.6111,0.1616,0.11,0.1321,0.2419,0.5428,0.1667,0.3572,0.2106,0.1751,0.3082,0.1711,0.4091,0.3415,0.4333,0.6
NN,0.6739,0.6538,0.9166,0.4585,0.2088,0.151,0.6209,0.1715,0.5,0.5714,0.4895,0.5408,0.6981,0.1843,0.6363,0.2196,0.4,0.5
NN,0.4348,0.3077,0.5833,0.2402,0.1759,0.1321,0.2092,0.5714,0.1667,0.3572,0.158,0.15,0.1133,0.0527,0.2728,0.244,0.7666,0.8666
NN,0.2609,0.4231,0.4167,0.4411,0.6154,0.9433,0.2419,0.5428,0.1667,0.3715,0.5842,0.1691,0.4969,0.8947,0.4091,0.2683,0.1334,0.0668
NN,0.7391,0.923,0.9166,0.297,0.0331,0.0756,0.9346,0.0001,0.9166,0.7285,0.7894,0.9268,0.9747,0.3421,0.2273,0.2196,0.1667,0.0668
NN,0.5217,0.3846,0.4583,0.3013,0.1979,0.0756,0.268,0.4572,0.1667,0.3572,0.2422,0.2123,0.3962,0.0922,0.5909,0.0245,0.7999,0.7666
NN,0.3696,0.3846,0.3611,0.2315,0.1979,0.1321,0.1635,0.6285,0.0834,0.4,0.1685,0.1164,0.3459,0.1053,0.1364,0.0733,0.5667,0.7
NN,0.2827,0.0386,0.3056,0.1573,0.1539,0.0944,0.0654,0.7999,0.0001,0.1286,0.058,0.0469,0.019,0.0659,0.091,0.3415,0.7999,0.8999
NN,0.4348,0.4231,0.8055,0.4061,0.1649,0.1699,0.4641,0.2858,0.4167,0.4,0.379,0.3849,0.2705,0.0659,0.1819,0.3415,0.6333,0.7666
NN,0.2827,0.1155,0.4167,0.1704,0.1539,0.1321,0.1373,0.6857,0.0834,0.1715,0.1211,0.0984,0.1133,0.0922,0.091,0.244,0.6,0.7
NN,0.3696,0.0386,0.3611,0.1398,0.088,0.0756,0.072,0.7999,0.0001,0.0001,0.0948,0.0481,0.0567,0.079,0.2273,0.6341,0.6666,0.7
NN,0.3261,0.5,0.4722,0.2926,0.2308,0.0756,0.2615,0.4857,0.1667,0.4286,0.2632,0.1979,0.522,0.158,0.2273,0.2683,0.4333,0.4667
NN,0.3479,0.3462,0.625,0.1747,0.121,0.151,0.2615,0.5143,0.1667,0.3715,0.2264,0.1931,0.3271,0.1711,0.3637,0.3171,0.3667,0.5333
NN,0.4565,0.6154,0.5417,0.4323,0.2638,0.0567,0.4052,0.3143,0.3334,0.5143,0.3474,0.337,0.61,0.158,0.2728,0.0489,0.7,0.6
NN,0.5,0.8461,0.8749,0.4236,0.1979,0.1321,0.6013,0.1715,0.5,0.6857,0.5105,0.5276,0.8616,0.1974,0.2728,0.0489,0.3334,0.4333
NN,0.3479,0.1155,0.1528,0.0219,0.055,0.0756,0.0393,0.8856,0.0001,0.1572,0.0369,0.0265,0.1007,0.2764,0.091,0.3415,0.1667,0.1334
NN,0.5652,0.3077,0.5139,0.4061,0.2418,0.0756,0.4249,0.2858,0.3334,0.3,0.379,0.3609,0.2642,0.1711,0.1819,0.244,0.7333,0.6
NN,0.6739,0.8076,0.8333,0.3581,0.1539,0.151,0.6797,0.1429,0.5833,0.7857,0.5,0.6019,0.6981,0.1974,0.2273,0.2683,0.3,0.4667
NN,0.6087,0.8845,0.8333,0.4847,0.2418,0.151,0.6274,0.1715,0.5833,0.7285,0.5105,0.5599,0.7169,0.1974,0.2728,0.122,0.3334,0.4
NN,0.2392,0.5385,0.4861,0.214,0.1869,0.0756,0.2746,0.4857,0.1667,0.3857,0.2369,0.2039,0.4717,0.2106,0.0001,0.0733,0.3,0.3667
NN,0.2392,0.1539,0.1806,0.0743,0.1319,0.0567,0.072,0.8285,0.0001,0.1001,0.058,0.0445,0.151,0.3027,0.3182,0.0245,0.1001,0.0668
NN,0.4565,0.3846,0.3334,0.3013,0.2418,0.0944,0.2484,0.4857,0.1667,0.3429,0.2053,0.1919,0.4277,0.1185,0.4091,0.0245,0.7666,0.8333
NN,0.3044,0.2308,0.4167,0.1922,0.1539,0.0944,0.2027,0.5714,0.0834,0.2572,0.179,0.1476,0.2013,0.1317,0.0455,0.0489,0.5333,0.6
NN,0.5652,0.7692,0.9027,0.5022,0.2088,0.1699,0.6013,0.1715,0.5,0.6714,0.479,0.5264,0.7232,0.1185,0.0001,0.1464,0.5,0.6666
NN,0.2609,0.4615,0.5555,0.2184,0.1869,0.1321,0.2288,0.5428,0.1667,0.4286,0.2053,0.1679,0.4088,0.158,0.0455,0.0976,0.4,0.6
NN,0.2174,0.1155,0.1945,0.0656,0.11,0.0756,0.1047,0.7714,0.0834,0.1001,0.0685,0.0648,0.1887,0.3027,0.2728,0.0733,0.1001,0.0668
NN,0.7391,0.8076,0.8055,0.4323,0.1979,0.1699,0.6928,0.1429,0.6666,0.7,0.521,0.6139,0.6729,0.1711,0.0455,0.6829,0.3667,0.6
NN,0.6304,0.4615,0.625,0.3887,0.1869,0.0756,0.5229,0.2001,0.4167,0.4,0.4579,0.4628,0.3397,0.2237,0.2728,0.1708,0.6333,0.4
NN,0.1522,0.1924,0.3195,0.1092,0.088,0.0944,0.2223,0.5714,0.1667,0.1715,0.2001,0.1559,0.3082,0.3158,0.4091,0.4878,0.1334,0.1334
NN,0.3479,0.3846,0.625,0.2446,0.1869,0.1699,0.2811,0.4857,0.1667,0.4714,0.2264,0.2063,0.4088,0.1711,0.2273,0.2196,0.3,0.5
NN,0.3261,0.3462,0.5139,0.2053,0.121,0.1133,0.1831,0.6,0.0834,0.3429,0.1843,0.1308,0.3082,0.0659,0.4546,0.2683,0.7333,0.7999
NN,0.4348,0.077,0.3611,0.2184,0.1319,0.0756,0.1961,0.5714,0.0834,0.1429,0.1685,0.144,0.0693,0.0659,0.2273,0.3171,0.7,0.7
NN,0.6087,0.5769,0.9305,0.5153,0.2308,0.151,0.6274,0.1715,0.5833,0.5143,0.5368,0.548,0.5975,0.1448,0.2273,0.9267,0.4667,0.7
NN,0.3044,0.1924,0.625,0.3188,0.1539,0.1133,0.3399,0.4,0.25,0.1572,0.2948,0.2614,0.1321,0.0527,0.0455,0.6097,0.7333,0.7999
NN,0.5869,0.5,0.6944,0.297,0.2198,0.1321,0.2942,0.4857,0.25,0.4572,0.2106,0.2147,0.4717,0.1053,0.7727,0.1708,0.5333,0.6333
NN,0.1957,0.4231,0.4445,0.0612,0.055,0.0944,0.2615,0.5143,0.1667,0.4143,0.2316,0.1871,0.4277,0.3027,0.091,0.0489,0.1334,0.1334
NN,0.3696,0.5769,0.6389,0.882,0.8681,0.8867,0.268,0.5143,0.1667,0.5428,0.7473,0.1943,0.5723,0.7763,0.0001,0.3659,0.3,0.4333
NN,0.7173,0.7692,0.8055,0.3144,0.077,0.151,0.6797,0.1429,0.5833,0.7571,0.5526,0.6079,0.6855,0.1974,0.0455,0.2196,0.3667,0.5333
NN,0.174,0.4615,0.3889,0.2839,0.2858,0.0756,0.255,0.5143,0.1667,0.4,0.2264,0.1823,0.4843,0.2106,0.3182,0.0001,0.2334,0.2667
NN,0.4783,0.5769,0.8888,0.4804,0.2198,0.1321,0.6078,0.1715,0.5,0.4714,0.5105,0.5324,0.5849,0.1974,0.2273,0.2196,0.3334,0.4
NN,0.3261,0.1539,0.1528,0.0045,0.055,0.0567,0.0458,0.8856,0.0001,0.1429,0.0264,0.0277,0.1007,0.3553,0.3637,0.3903,0.1001,0.0668
NN,0.4565,0.6154,0.6527,0.1442,0.077,0.1699,0.3007,0.4857,0.25,0.6285,0.2527,0.2183,0.4843,0.2106,0.2273,0.122,0.2334,0.4333
NN,0.4348,0.1539,0.5,0.345,0.1759,0.1133,0.3399,0.4,0.25,0.2286,0.3211,0.265,0.1887,0.1053,0.1819,0.1708,0.5333,0.5333
NN,0.9999,0.8076,0.9166,0.5065,0.1979,0.1887,0.6601,0.1429,0.5833,0.7,0.4895,0.5887,0.7735,0.0922,0.909,0.0245,0.5333,0.7
NN,0.4348,0.5,0.5833,0.1791,0.121,0.1699,0.3072,0.4857,0.25,0.6,0.2632,0.2243,0.5031,0.2369,0.091,0.0976,0.2334,0.4333
NN,0.3913,0.3846,0.4167,0.1267,0.088,0.1133,0.1177,0.7142,0.0834,0.4,0.1527,0.0828,0.2956,0.1448,0.0455,0.1952,0.4667,0.4333
NN,0.2609,0.3462,0.3611,0.0787,0.077,0.0756,0.2353,0.5714,0.1667,0.3286,0.2211,0.1595,0.4088,0.3816,0.2728,0.3415,0.1334,0.0334
NN,0.3479,0.5385,0.5694,0.1878,0.1869,0.1699,0.2876,0.5143,0.25,0.6428,0.2106,0.2015,0.4969,0.2237,0.2728,0.3171,0.2667,0.4
NN,0.3913,0.4615,0.5417,0.3144,0.1319,0.1321,0.3334,0.4,0.25,0.4286,0.2843,0.2638,0.4403,0.0396,0.0001,0.244,0.7666,0.8999
NN,0.1088,0.1924,0.3195,0.0481,0.044,0.0756,0.1961,0.6,0.1667,0.1715,0.1685,0.138,0.2328,0.2369,0.091,0.0976,0.1667,0.1334
NN,0.4131,0.1924,0.4306,0.3057,0.2088,0.0944,0.2746,0.4857,0.1667,0.2143,0.2685,0.2051,0.1321,0.1448,0.1819,0.5853,0.4333,0.4667
NN,0.5435,0.8461,0.8472,0.5415,0.2528,0.1321,0.6405,0.1429,0.5833,0.7142,0.5579,0.5719,0.8553,0.1711,0.0455,0.1464,0.4,0.5333
NN,0.6087,0.3462,0.3056,0.3101,0.2198,0.0756,0.2419,0.4857,0.1667,0.3,0.2053,0.1883,0.3522,0.079,0.3182,0.2683,0.8666,0.9332
NN,0.6087,0.8845,0.8888,0.3537,0.066,0.0756,0.9476,0.0001,0.9166,0.7142,0.7631,0.9256,0.761,0.3158,0.2273,0.6341,0.1334,0.1001
NN,0.4565,0.1155,0.3611,0.2053,0.1539,0.1133,0.1373,0.6857,0.0834,0.2429,0.1264,0.0972,0.063,0.0396,0.4091,0.0733,0.8333,0.8999
NN,0.5217,0.4231,0.7777,0.3974,0.1759,0.1321,0.4771,0.2858,0.4167,0.3715,0.379,0.3933,0.3522,0.0922,0.1819,0.1952,0.5,0.6
NN,0.3479,0.5385,0.6111,0.1267,0.088,0.1699,0.2942,0.5143,0.25,0.6,0.2053,0.2039,0.4214,0.1974,0.2273,0.2196,0.2001,0.3667
NN,0.7391,0.7692,0.8749,0.5109,0.2088,0.1699,0.634,0.1715,0.5833,0.6428,0.4842,0.5623,0.6478,0.0922,0.0001,0.0245,0.5,0.6666
NN,0.2609,0.2308,0.3889,0.0656,0.055,0.0567,0.1047,0.7714,0.0834,0.2429,0.0948,0.0684,0.2076,0.2106,0.3637,0.1952,0.2001,0.2001
NN,0.6521,0.6538,0.8055,0.4716,0.1759,0.1321,0.5294,0.2286,0.4167,0.6143,0.4421,0.4592,0.478,0.0659,0.2273,0.122,0.7333,0.7666
NN,0.087,0.1924,0.3195,0.1354,0.1319,0.0567,0.1177,0.7428,0.0834,0.1715,0.079,0.0756,0.1887,0.2632,0.5909,0.5122,0.2334,0.2001
NN,0.5,0.2693,0.4167,0.07,0.0331,0.1133,0.1635,0.6857,0.0834,0.3286,0.1685,0.102,0.1887,0.2764,0.4546,0.3171,0.2334,0.0668
NN,0.2174,0.3462,0.3611,0.2271,0.2198,0.0944,0.2484,0.5428,0.1667,0.3715,0.2316,0.1787,0.3145,0.25,0.1819,0.0489,0.2001,0.2334
NN,0.4348,0.4615,0.6389,0.4236,0.2418,0.0944,0.4706,0.2572,0.4167,0.3857,0.3842,0.4065,0.4654,0.1711,0.0001,0.0976,0.6,0.5333
NN,0.3479,0.3077,0.4861,0.1704,0.099,0.0944,0.2223,0.5714,0.1667,0.2715,0.2106,0.1595,0.2956,0.2237,0.8181,0.122,0.2667,0.2334
NN,0.174,0.3846,0.3889,0.0918,0.11,0.1133,0.2419,0.5714,0.1667,0.4,0.2053,0.1667,0.3962,0.3158,0.2728,0.439,0.1001,0.1001
NN,0.5435,0.8461,0.8472,0.5022,0.2418,0.1699,0.7385,0.1144,0.6666,0.8571,0.5316,0.6762,0.6729,0.1974,0.2728,0.3415,0.3667,0.4667
NN,0.2827,0.4231,0.5278,0.2621,0.2308,0.1321,0.1961,0.5714,0.0834,0.4143,0.2001,0.1452,0.39,0.1448,0.0455,0.2683,0.4667,0.6666
NN,0.5435,0.6154,0.6111,0.5022,0.2967,0.0944,0.5098,0.2286,0.4167,0.5143,0.4105,0.4485,0.6289,0.1974,0.1819,0.1708,0.6333,0.4667
NN,0.5,0.8461,0.8055,0.249,0.077,0.151,0.6732,0.1429,0.5833,0.8142,0.5053,0.5983,0.7044,0.2237,0.1364,0.1464,0.3,0.4
NN,0.5217,0.9999,0.9444,0.5371,0.2528,0.1699,0.732,0.1144,0.6666,0.9713,0.5,0.657,0.6855,0.1448,0.4546,0.6097,0.3334,0.5667
NN,0.4131,0.2308,0.7083,0.3799,0.1649,0.1133,0.4183,0.3143,0.3334,0.2715,0.3474,0.3382,0.2642,0.1053,0.1364,0.561,0.5333,0.6333
NN,0.0001,0.1539,0.1806,0.0307,0.077,0.0756,0.0916,0.8285,0.0834,0.1429,0.0264,0.0516,0.239,0.3027,0.0455,0.3659,0.0001,0.1001
NN,0.3479,0.3462,0.6805,0.1878,0.1539,0.1699,0.255,0.5143,0.1667,0.3857,0.2106,0.1847,0.3397,0.1711,0.5,0.561,0.3667,0.6
NN,0.6087,0.7692,0.8749,0.4323,0.1759,0.1321,0.5425,0.2286,0.4167,0.6285,0.4211,0.464,0.6352,0.1185,0.2273,0.122,0.5,0.5667
NN,0.3913,0.2308,0.5972,0.2883,0.1429,0.1133,0.3922,0.3429,0.3334,0.2286,0.3527,0.313,0.2705,0.1711,0.0001,0.244,0.4,0.4333
